Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100)
870,Cassandra Crawford,"TensorFlow, NLP, Pytorch",6,PhD,AWS Certified,AI Researcher,Hire,41199,9,100
1979,Candidate 1979,"Deep Learning, Machine Learning, SQL, Python",20,PhD,None,Data Scientist,Hire,52928,2,2
457,Paul Wallace,"Cybersecurity, Ethical Hacking, Linux, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,80085,10,100
1866,Candidate 1866,"SQL, Machine Learning",1,B.Sc,None,AI Researcher,Hire,139485,7,57
213,Wyatt Anderson,"C++, SQL",2,MBA,Google ML,Software Engineer,Reject,94346,1,45
1007,Candidate 1007,"Networking, Cybersecurity",19,B.Sc,Google ML,Cybersecurity Analyst,Hire,68573,4,11
1048,Candidate 1048,"NLP, Python, Pytorch, TensorFlow",13,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,143244,3,36
706,Stephanie Nguyen,"Pytorch, TensorFlow, NLP",4,M.Tech,Google ML,AI Researcher,Hire,63556,10,100
1144,Candidate 1144,"Ethical Hacking, Networking, Linux, Cybersecurity",0,B.Sc,AWS Certified,AI Researcher,Hire,61565,6,88
1597,Candidate 1597,"Python, Deep Learning, Machine Learning, SQL",9,B.Tech,None,Cybersecurity Analyst,Reject,100191,11,87
1988,Candidate 1988,"C++, Java",18,B.Sc,Deep Learning Specialization,AI Researcher,Hire,117606,7,68
180,Erin Maynard,"Networking, Cybersecurity, Ethical Hacking",8,MBA,None,Cybersecurity Analyst,Hire,65748,4,100
110,Nicole Hunt,"Ethical Hacking, Linux, Networking, Cybersecurity",7,MBA,None,Cybersecurity Analyst,Hire,107237,3,100
1079,Candidate 1079,"Linux, Ethical Hacking, Cybersecurity, Networking",17,B.Tech,Deep Learning Specialization,AI Researcher,Reject,56712,19,92
1056,Candidate 1056,"Machine Learning, Python, Deep Learning",17,M.Tech,None,AI Researcher,Reject,92841,1,40
1953,Candidate 1953,"C++, Java, SQL",11,PhD,Google ML,AI Researcher,Hire,126941,20,12
315,Robert Thompson,"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,Hire,97006,5,100
1823,Candidate 1823,"SQL, Java",18,M.Tech,Deep Learning Specialization,Software Engineer,Hire,97313,3,55
568,Hunter Dalton,"React, Java",3,M.Tech,AWS Certified,Software Engineer,Hire,105280,9,95
880,Elizabeth Smith,"Cybersecurity, Ethical Hacking, Networking, Linux",6,PhD,Google ML,Cybersecurity Analyst,Hire,67810,1,95
231,Thomas Curtis,"Python, NLP, Pytorch",1,MBA,Google ML,AI Researcher,Reject,113921,1,40
1412,Candidate 1412,"NLP, Python, TensorFlow",10,MBA,None,Cybersecurity Analyst,Reject,100205,18,5
1225,Candidate 1225,"SQL, Python",3,B.Sc,None,AI Researcher,Hire,73376,18,31
1937,Candidate 1937,"C++, SQL, Java",4,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Reject,58914,8,34
1250,Candidate 1250,"Linux, Networking, Cybersecurity, Ethical Hacking",2,PhD,Google ML,Data Scientist,Hire,50202,15,25
930,David Levy,"Pytorch, TensorFlow, NLP, Python",1,M.Tech,None,AI Researcher,Reject,63713,0,30
579,Christopher Mcconnell,"SQL, Java, React, C++",3,M.Tech,Google ML,Software Engineer,Hire,52454,9,100
1380,Candidate 1380,"Cybersecurity, Ethical Hacking, Networking",12,B.Tech,Google ML,AI Researcher,Reject,101020,1,4
293,Katelyn Hopkins,"Machine Learning, Python, SQL",6,B.Tech,None,Data Scientist,Hire,50393,5,100
1503,Candidate 1503,"TensorFlow, Pytorch",14,PhD,None,AI Researcher,Hire,138339,18,95
1783,Candidate 1783,"Python, Deep Learning, Machine Learning",7,B.Tech,AWS Certified,Software Engineer,Hire,130958,2,70
606,Kelly Porter,"Cybersecurity, Networking, Ethical Hacking, Linux",5,B.Tech,AWS Certified,Cybersecurity Analyst,Hire,74090,3,95
1989,Candidate 1989,"Linux, Ethical Hacking, Networking",7,B.Sc,AWS Certified,AI Researcher,Reject,53104,14,71
15,Tammy Pineda,"Pytorch, NLP",0,M.Tech,Deep Learning Specialization,AI Researcher,Reject,96555,5,45
1262,Candidate 1262,"NLP, TensorFlow, Python",16,MBA,None,Data Scientist,Reject,111182,20,73
1239,Candidate 1239,"Linux, Networking",0,PhD,AWS Certified,AI Researcher,Reject,117241,12,75
1319,Candidate 1319,"Linux, Ethical Hacking, Cybersecurity, Networking",20,M.Tech,Google ML,Cybersecurity Analyst,Hire,98259,17,51
9,Nancy Jenkins,"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270,3,100
890,Mrs. Heather Williams MD,"Python, Machine Learning, Deep Learning, SQL",7,M.Tech,Google ML,Data Scientist,Hire,112572,5,100
1149,Candidate 1149,"Pytorch, NLP",0,B.Tech,None,Cybersecurity Analyst,Hire,124962,10,92
1552,Candidate 1552,"Java, C++",20,M.Tech,None,Software Engineer,Reject,50278,13,44
1445,Candidate 1445,"Networking, Cybersecurity, Ethical Hacking, Linux",4,PhD,Deep Learning Specialization,AI Researcher,Hire,70202,20,8
394,Victor Braun,"Python, Machine Learning, SQL",6,PhD,None,Data Scientist,Hire,46741,1,80
1583,Candidate 1583,"SQL, Deep Learning, Python, Machine Learning",15,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,127141,17,66
859,Eric Ramirez,"Machine Learning, SQL, Deep Learning",10,PhD,None,Data Scientist,Hire,54054,0,100
539,Jessica Doyle,"Java, C++, SQL",9,M.Tech,Deep Learning Specialization,Software Engineer,Hire,82288,0,100
1488,Candidate 1488,"Java, C++, React",20,M.Tech,Google ML,Software Engineer,Reject,121410,5,89
808,Nathan Miller,"Python, Machine Learning, Deep Learning",9,M.Tech,AWS Certified,Data Scientist,Hire,64058,1,100
1415,Candidate 1415,"Ethical Hacking, Cybersecurity, Linux",12,M.Tech,AWS Certified,Data Scientist,Hire,116231,17,12
799,Elizabeth Smith,"SQL, Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,113251,8,100
1540,Candidate 1540,"Cybersecurity, Linux, Ethical Hacking",19,B.Sc,AWS Certified,Data Scientist,Reject,106111,10,33
1816,Candidate 1816,"Networking, Linux, Ethical Hacking",7,PhD,AWS Certified,Data Scientist,Hire,113967,6,53
330,Bryan Clayton,"Networking, Cybersecurity, Ethical Hacking, Linux",0,PhD,AWS Certified,Cybersecurity Analyst,Reject,62201,5,55
648,Brittany Lee,"Pytorch, Python, TensorFlow",0,PhD,Google ML,AI Researcher,Reject,110862,6,55
1425,Candidate 1425,"Python, Machine Learning",16,M.Tech,Google ML,Data Scientist,Reject,96636,7,19
360,Nicole Randolph,"Networking, Ethical Hacking",0,B.Tech,None,Cybersecurity Analyst,Reject,97659,4,30
1322,Candidate 1322,"NLP, Python",20,M.Tech,None,AI Researcher,Hire,47992,0,70
788,Jacob Duncan,"Networking, Linux, Ethical Hacking, Cybersecurity",7,PhD,None,Cybersecurity Analyst,Hire,92893,7,100
1993,Candidate 1993,"React, SQL",8,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,34396,11,24
1117,Candidate 1117,"TensorFlow, Pytorch, NLP, Python",17,B.Tech,None,Data Scientist,Reject,70137,17,78
1321,Candidate 1321,"SQL, React, Java",10,PhD,AWS Certified,Software Engineer,Reject,106360,6,18
1657,Candidate 1657,"Networking, Ethical Hacking, Linux, Cybersecurity",2,M.Tech,Deep Learning Specialization,Data Scientist,Reject,113018,19,72
1553,Candidate 1553,"Python, SQL, Machine Learning, Deep Learning",14,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Reject,92981,20,19
33,Elizabeth Serrano,"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,AWS Certified,Data Scientist,Hire,51283,4,100
464,Travis Thompson,"C++, Java",0,M.Tech,Deep Learning Specialization,Software Engineer,Reject,109551,3,35
516,Ryan Smith,"React, C++",9,B.Sc,None,Software Engineer,Hire,102113,6,100
296,Jacqueline Frederick,"Deep Learning, Python, Machine Learning, SQL",2,B.Sc,None,Data Scientist,Hire,84282,6,70
167,Joel Hansen,"Pytorch, NLP, Python",3,M.Tech,AWS Certified,AI Researcher,Hire,76100,6,85
863,Theresa Villanueva,"Linux, Networking, Cybersecurity",9,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,73851,6,100
415,James Reyes,"React, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,Hire,85526,1,75
34,Maria Glover,"TensorFlow, Python, Pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,99521,4,100
185,Justin Myers Jr.,"React, Java, C++, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,Hire,89830,3,100
1023,Candidate 1023,"Cybersecurity, Ethical Hacking, Linux",18,B.Tech,AWS Certified,Cybersecurity Analyst,Reject,138968,4,33
1241,Candidate 1241,"Python, Pytorch",0,B.Sc,AWS Certified,Data Scientist,Reject,59738,1,88
1302,Candidate 1302,"Pytorch, TensorFlow, NLP, Python",20,B.Sc,None,Data Scientist,Hire,92216,7,64
1953,Candidate 1953,"C++, Java, SQL",11,PhD,Google ML,AI Researcher,Hire,126941,20,12
1750,Candidate 1750,"Linux, Ethical Hacking, Cybersecurity, Networking",14,M.Tech,None,Software Engineer,Hire,65970,13,17
1622,Candidate 1622,"SQL, C++",6,B.Sc,Deep Learning Specialization,Data Scientist,Hire,62848,8,98
1243,Candidate 1243,"Deep Learning, Machine Learning",7,M.Tech,None,Cybersecurity Analyst,Reject,45421,3,85
1550,Candidate 1550,"Machine Learning, Python, Deep Learning",19,B.Tech,Google ML,Data Scientist,Hire,78794,16,56
722,Albert Rivera,"Cybersecurity, Networking",3,PhD,None,Cybersecurity Analyst,Hire,42368,9,85
1175,Candidate 1175,"Python, Deep Learning, Machine Learning, SQL",2,B.Tech,Google ML,Cybersecurity Analyst,Hire,61992,17,89
671,Tammy Chen,"Python, NLP, Pytorch, TensorFlow",0,B.Sc,Google ML,AI Researcher,Reject,106452,3,45
1332,Candidate 1332,"SQL, React, C++, Java",16,PhD,Google ML,AI Researcher,Reject,43411,12,38
1747,Candidate 1747,"TensorFlow, NLP, Python, Pytorch",7,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,62883,19,14
425,David Smith,"SQL, C++",3,B.Tech,Deep Learning Specialization,Software Engineer,Hire,41891,4,70
1557,Candidate 1557,"C++, Java, SQL, React",8,PhD,Google ML,Data Scientist,Reject,62008,6,52
867,Timothy Buckley,"Python, SQL, Machine Learning",10,MBA,Google ML,Data Scientist,Hire,114118,2,100
1537,Candidate 1537,"Networking, Linux, Ethical Hacking, Cybersecurity",1,B.Tech,Google ML,Data Scientist,Reject,139216,1,83
585,Andrew Santiago,"Ethical Hacking, Cybersecurity, Linux",6,MBA,Google ML,Cybersecurity Analyst,Hire,66802,1,90
1745,Candidate 1745,"Machine Learning, SQL, Python",16,M.Tech,Deep Learning Specialization,Data Scientist,Hire,50741,11,55
1868,Candidate 1868,"Java, React",14,B.Tech,Google ML,Cybersecurity Analyst,Reject,102891,4,8
719,Jason Elliott,"SQL, Machine Learning",4,MBA,Google ML,Data Scientist,Hire,42621,5,85
1371,Candidate 1371,"C++, Java, React",14,MBA,Deep Learning Specialization,Data Scientist,Hire,127324,5,12
980,Pamela Santos,"TensorFlow, NLP, Python",9,MBA,Google ML,AI Researcher,Hire,57419,7,100
1931,Candidate 1931,"Java, React",14,B.Sc,Deep Learning Specialization,Software Engineer,Hire,78102,18,48
21,Nichole Welch,"SQL, Java, C++, React",5,B.Sc,None,Software Engineer,Hire,57546,4,90
611,Kelly Scott,"Java, React, C++, SQL",5,MBA,Google ML,Software Engineer,Hire,87525,1,85
1627,Candidate 1627,"Networking, Cybersecurity, Ethical Hacking, Linux",15,B.Tech,Google ML,AI Researcher,Hire,36179,3,33
426,Molly Brewer,"Python, NLP, Pytorch, TensorFlow",4,B.Sc,None,AI Researcher,Hire,61931,8,100
1054,Candidate 1054,"React, SQL, Java",18,B.Tech,Deep Learning Specialization,Data Scientist,Reject,85574,10,28
1008,Candidate 1008,"TensorFlow, Pytorch, Python, NLP",15,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,44229,1,40
600,Jessica Robinson,"NLP, Pytorch, TensorFlow",7,B.Tech,Deep Learning Specialization,AI Researcher,Hire,66221,4,100
1748,Candidate 1748,"NLP, Pytorch, TensorFlow",0,MBA,Google ML,AI Researcher,Hire,117182,12,92
352,Tanya Lloyd,"React, C++, SQL, Java",0,M.Tech,None,Software Engineer,Reject,94099,0,20
1430,Candidate 1430,"Python, TensorFlow",2,B.Sc,None,Data Scientist,Hire,146329,12,16
1115,Candidate 1115,"Python, NLP",6,B.Sc,Google ML,Data Scientist,Reject,108721,17,95
643,Michael Chang,"Ethical Hacking, Networking",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,75810,7,100
403,Carlos Dawson,"Networking, Linux, Ethical Hacking, Cybersecurity",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,61659,10,100
491,Sheri Dickerson,"Python, Pytorch, NLP",0,PhD,Google ML,AI Researcher,Hire,88256,9,70
500,Kyle Cole,"Java, SQL, C++, React",3,B.Tech,Deep Learning Specialization,Software Engineer,Reject,67414,0,60
1004,Candidate 1004,"SQL, C++, Java",20,MBA,AWS Certified,AI Researcher,Hire,71130,13,33
115,Meagan King,"C++, Java",2,MBA,Deep Learning Specialization,Software Engineer,Reject,85561,2,50
1485,Candidate 1485,"Machine Learning, SQL, Deep Learning",4,MBA,Google ML,Data Scientist,Reject,83229,11,95
1879,Candidate 1879,"C++, React, SQL, Java",13,B.Tech,Deep Learning Specialization,Software Engineer,Hire,62398,10,1
474,Mary Taylor,"SQL, Machine Learning, Deep Learning",9,B.Tech,None,Data Scientist,Hire,114686,0,100
271,Amy Poole,"Machine Learning, SQL, Python",0,PhD,Google ML,Data Scientist,Reject,43642,7,60
342,Shannon Page,"Deep Learning, SQL, Python, Machine Learning",8,MBA,AWS Certified,Data Scientist,Hire,100345,0,100
1059,Candidate 1059,"Machine Learning, Python, Deep Learning",3,M.Tech,AWS Certified,Software Engineer,Hire,115452,15,4
1199,Candidate 1199,"Networking, Ethical Hacking",0,B.Sc,AWS Certified,AI Researcher,Reject,41127,19,60
1045,Candidate 1045,"SQL, Deep Learning, Python",1,B.Sc,None,Data Scientist,Reject,119128,18,61
1498,Candidate 1498,"NLP, TensorFlow, Pytorch",10,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,44823,5,24
794,Jennifer Hess,"SQL, Deep Learning, Python, Machine Learning",7,M.Tech,None,Data Scientist,Hire,71964,7,100
393,Jack Hall,"C++, React, Java",9,B.Tech,Deep Learning Specialization,Software Engineer,Hire,76157,8,100
1471,Candidate 1471,"Java, SQL",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,149783,11,16
1838,Candidate 1838,"Pytorch, TensorFlow",5,M.Tech,None,Software Engineer,Reject,34236,15,32
359,Debra Franco,"SQL, Deep Learning, Machine Learning",6,M.Tech,None,Data Scientist,Hire,58016,2,85
335,Natalie King,"Ethical Hacking, Linux",7,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,91922,0,90
18,Frances Davis MD,"Linux, Networking, Cybersecurity, Ethical Hacking",3,B.Tech,None,Cybersecurity Analyst,Hire,66379,6,80
1655,Candidate 1655,"TensorFlow, NLP, Pytorch, Python",17,M.Tech,AWS Certified,AI Researcher,Hire,110690,13,1
1211,Candidate 1211,"TensorFlow, NLP, Python",7,MBA,AWS Certified,Software Engineer,Reject,78698,14,60
118,Mariah Randolph,"React, C++, Java",5,PhD,AWS Certified,Software Engineer,Hire,72099,10,100
230,Christopher Dominguez,"Cybersecurity, Networking, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,102929,10,95
1118,Candidate 1118,"Ethical Hacking, Linux",19,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,123784,14,99
1293,Candidate 1293,"NLP, Pytorch",0,B.Sc,None,Cybersecurity Analyst,Reject,31196,7,38
496,Regina English,"Machine Learning, Deep Learning, Python",3,B.Sc,AWS Certified,Data Scientist,Hire,79930,9,100
1545,Candidate 1545,"NLP, TensorFlow, Python, Pytorch",19,MBA,AWS Certified,Cybersecurity Analyst,Hire,36296,14,7
462,Daniel Ruiz,"Ethical Hacking, Networking, Linux",1,M.Tech,Google ML,Cybersecurity Analyst,Hire,102085,6,65
904,James Grimes,"Pytorch, Python",9,PhD,Deep Learning Specialization,AI Researcher,Hire,97435,7,100
1564,Candidate 1564,"Python, Machine Learning",12,B.Sc,Deep Learning Specialization,Data Scientist,Hire,55373,2,39
554,Barbara Turner,"React, C++, Java, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,Hire,58910,7,100
319,Elizabeth Chavez,"TensorFlow, Python, NLP",9,M.Tech,AWS Certified,AI Researcher,Hire,101293,0,100
454,Jordan Cook,"Java, React, C++, SQL",3,B.Sc,Google ML,Software Engineer,Hire,63179,9,100
1266,Candidate 1266,"Machine Learning, SQL, Python",10,M.Tech,None,Data Scientist,Reject,118185,17,14
453,Michael Krueger,"Java, SQL, React",5,MBA,None,Software Engineer,Hire,49176,8,100
1492,Candidate 1492,"Java, SQL, React",13,MBA,None,Data Scientist,Hire,36633,13,99
1573,Candidate 1573,"Deep Learning, Python, SQL",14,B.Tech,AWS Certified,Data Scientist,Hire,87390,14,25
1290,Candidate 1290,"Python, Pytorch, TensorFlow, NLP",4,PhD,AWS Certified,Data Scientist,Hire,43757,13,92
1323,Candidate 1323,"SQL, Python, Machine Learning, Deep Learning",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,41785,9,74
1519,Candidate 1519,"Java, SQL, C++, React",17,B.Tech,Google ML,Software Engineer,Hire,84442,3,68
1394,Candidate 1394,"C++, SQL, Java",17,M.Tech,Google ML,Software Engineer,Reject,113285,19,59
234,Tonya Ellison,"SQL, Java, C++, React",9,M.Tech,None,Software Engineer,Hire,76224,5,100
658,Edward Duncan,"Networking, Linux, Ethical Hacking, Cybersecurity",0,MBA,None,Cybersecurity Analyst,Reject,108549,2,30
1057,Candidate 1057,"C++, Java, React, SQL",19,MBA,Google ML,Data Scientist,Reject,87205,7,76
120,Joseph Carroll,"React, C++, Java, SQL",5,MBA,Deep Learning Specialization,Software Engineer,Hire,68881,8,100
1195,Candidate 1195,"SQL, React, Java, C++",9,MBA,None,Software Engineer,Reject,44308,9,80
1895,Candidate 1895,"Deep Learning, Machine Learning, SQL",6,M.Tech,Deep Learning Specialization,Software Engineer,Reject,135883,9,62
1663,Candidate 1663,"SQL, C++, Java",10,B.Sc,AWS Certified,AI Researcher,Reject,96713,9,1
1331,Candidate 1331,"Python, TensorFlow",12,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,35447,9,42
1179,Candidate 1179,"SQL, Machine Learning, Deep Learning, Python",12,B.Tech,Deep Learning Specialization,AI Researcher,Reject,64006,5,62
1721,Candidate 1721,"Networking, Cybersecurity, Ethical Hacking",6,PhD,None,AI Researcher,Hire,101135,17,60
158,Renee Odonnell DDS,"Pytorch, TensorFlow, Python",2,PhD,None,AI Researcher,Reject,85955,1,40
299,Scott Coleman,"SQL, Deep Learning",6,B.Tech,Google ML,Data Scientist,Hire,80534,6,100
94,Juan Jimenez,"NLP, Pytorch",0,B.Sc,Deep Learning Specialization,AI Researcher,Hire,87556,10,70
405,Kyle Contreras,"Cybersecurity, Linux, Ethical Hacking",3,MBA,None,Cybersecurity Analyst,Hire,103993,9,90
1549,Candidate 1549,"SQL, Python, Machine Learning, Deep Learning",8,B.Sc,Google ML,Data Scientist,Reject,105170,4,34
1576,Candidate 1576,"SQL, C++, Java",10,B.Sc,Google ML,Software Engineer,Reject,51662,4,5
1746,Candidate 1746,"Cybersecurity, Linux, Networking, Ethical Hacking",12,PhD,AWS Certified,Software Engineer,Hire,33244,0,67
887,Steven Gonzalez,"Machine Learning, Deep Learning, SQL",3,PhD,AWS Certified,Data Scientist,Hire,48470,7,90
1794,Candidate 1794,"C++, React, SQL, Java",13,MBA,Google ML,Cybersecurity Analyst,Reject,139218,15,27
24,Taylor Williams,"TensorFlow, Pytorch, NLP, Python",8,MBA,Deep Learning Specialization,AI Researcher,Hire,94384,0,100
1351,Candidate 1351,"React, C++",11,B.Sc,Google ML,Cybersecurity Analyst,Hire,49593,18,17
1624,Candidate 1624,"C++, React, SQL, Java",6,B.Sc,AWS Certified,Software Engineer,Hire,76334,2,71
1732,Candidate 1732,"Machine Learning, SQL",11,MBA,AWS Certified,AI Researcher,Hire,101644,14,33
1085,Candidate 1085,"SQL, Machine Learning, Deep Learning, Python",1,B.Tech,Google ML,Software Engineer,Reject,133361,0,61
1992,Candidate 1992,"Pytorch, Python, TensorFlow",6,MBA,Google ML,Cybersecurity Analyst,Hire,71674,12,73
666,Mrs. Monica Thomas MD,"C++, Java, SQL, React",10,PhD,None,Software Engineer,Hire,79684,8,100
379,Zachary Lynch,"SQL, Python",8,B.Sc,Deep Learning Specialization,Data Scientist,Hire,118157,10,100
1273,Candidate 1273,"Networking, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Reject,88173,2,26
306,Nathaniel Terry,"React, SQL, C++",1,MBA,None,Software Engineer,Hire,88441,10,75
903,Lisa White,"Deep Learning, Machine Learning, SQL, Python",6,PhD,Deep Learning Specialization,Data Scientist,Hire,48306,10,100
762,Shane Thomas,"Machine Learning, Deep Learning, SQL",6,M.Tech,None,Data Scientist,Hire,41610,7,100
599,Jennifer Yu,"NLP, Python, TensorFlow",7,B.Sc,None,AI Researcher,Hire,94313,9,100
1880,Candidate 1880,"TensorFlow, Pytorch, Python",10,PhD,None,Cybersecurity Analyst,Reject,126602,4,57
872,Karina Stone,"Java, C++, React, SQL",8,PhD,Google ML,Software Engineer,Hire,77705,0,100
546,Marcus Ramirez,"SQL, Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,Hire,81778,4,100
122,Robert Carey,"Python, TensorFlow, Pytorch, NLP",4,B.Sc,AWS Certified,AI Researcher,Hire,47581,2,80
1361,Candidate 1361,"Ethical Hacking, Cybersecurity",20,B.Tech,Deep Learning Specialization,Data Scientist,Reject,112633,0,5
1937,Candidate 1937,"C++, SQL, Java",4,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Reject,58914,8,34
759,Eric Jimenez,"NLP, TensorFlow, Pytorch, Python",6,B.Tech,Google ML,AI Researcher,Hire,75755,0,90
1645,Candidate 1645,"Cybersecurity, Ethical Hacking, Linux",8,B.Tech,Deep Learning Specialization,Data Scientist,Hire,91395,20,40
1540,Candidate 1540,"Cybersecurity, Linux, Ethical Hacking",19,B.Sc,AWS Certified,Data Scientist,Reject,106111,10,33
211,Cindy Crosby,"Machine Learning, Python, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,Hire,99842,4,75
1053,Candidate 1053,"Pytorch, Python, TensorFlow",18,B.Sc,None,Cybersecurity Analyst,Hire,140907,4,26
1567,Candidate 1567,"Pytorch, NLP",8,M.Tech,None,AI Researcher,Reject,44879,15,41
1247,Candidate 1247,"Python, Pytorch",2,PhD,Deep Learning Specialization,Data Scientist,Reject,46026,5,68
